VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,   "rms[Rho_1]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,       -4.61902305,      -7.618588543,     -0.7282089968,      -16.93597155,       -16.7674328,        2.86540159,      -4.419756294,   2.712087691e-06,  -1.207712924e-06,  -1.380422189e-05,   5.338970262e-18,   9.944561372e-07,  -1.136668566e-05,   2.712087691e-06,  -1.380422189e-05,  -1.207712924e-06,     -0.4453074758
          0,           0,           1,      -4.619403869,      -7.618969364,     -0.7286520772,      -3.782927911,      -4.822957861,       2.865019399,      -4.420137113,   5.504676591e-06,  -2.449437444e-06,  -2.799719809e-05,   1.129297413e-17,   2.017818931e-06,  -2.306377592e-05,   5.504676591e-06,  -2.799719809e-05,  -2.449437444e-06,     -0.4449739059
          0,           0,           2,      -4.619784628,      -7.619350125,     -0.7290970113,      -3.475730362,      -4.515783422,       2.864637234,      -4.420517872,   8.381175171e-06,  -3.726567598e-06,  -4.259486255e-05,   1.829114875e-17,   3.071309418e-06,  -3.510522729e-05,   8.381175171e-06,  -4.259486255e-05,  -3.726567598e-06,     -0.4446354505
          0,           0,           3,      -4.620165422,      -7.619730921,     -0.7295439774,      -3.293385817,      -4.333461993,       2.864255004,      -4.420898666,    1.13448734e-05,  -5.040433679e-06,  -5.761242058e-05,   2.676637679e-17,   4.156090654e-06,  -4.750433355e-05,    1.13448734e-05,  -5.761242058e-05,  -5.040433679e-06,      -0.444291752
          0,           0,           4,      -4.620546347,       -7.62011185,     -0.7299931514,       -3.16211878,       -4.20221807,       2.863872616,      -4.421279591,   1.439899538e-05,  -6.392325546e-06,  -7.306461532e-05,     3.7276173e-17,   5.273288873e-06,  -6.027396763e-05,   1.439899538e-05,  -7.306461532e-05,  -6.392325546e-06,      -0.443942468
          0,           0,           5,      -4.620927501,      -7.620493007,     -0.7304447078,       -3.05881402,      -4.098936418,       2.863489976,      -4.421660744,   1.754673552e-05,  -7.783508589e-06,  -8.896591027e-05,   5.043009837e-17,   6.424007923e-06,  -7.342674655e-05,   1.754673552e-05,  -8.896591027e-05,  -7.783508589e-06,     -0.4435872746
          0,           0,           6,      -4.621308978,      -7.620874488,     -0.7308988199,      -2.973178564,      -4.013324062,        2.86310699,      -4.422042222,   2.079128421e-05,  -9.215234961e-06,  -0.0001053306176,   6.694806471e-17,   7.609339349e-06,  -8.697514675e-05,   2.079128421e-05,  -0.0001053306176,  -9.215234961e-06,     -0.4432258666
          0,           0,           7,      -4.621690876,      -7.621256391,     -0.7313556608,      -2.899723899,      -3.939892489,       2.862723565,       -4.42242412,   2.413584647e-05,  -1.068875164e-05,  -0.0001221729903,    8.77395505e-17,   8.830369603e-06,  -0.0001009315864,   2.413584647e-05,  -0.0001221729903,  -1.068875164e-05,     -0.4428579562
          0,           0,           8,      -4.622073291,      -7.621638811,     -0.7318154039,      -2.835175304,      -3.875366979,       2.862339605,      -4.422806535,   2.758365598e-05,  -1.220530632e-05,  -0.0001395072896,   1.138275432e-16,   1.008818528e-05,  -0.0001153084853,   2.758365598e-05,  -0.0001395072896,  -1.220530632e-05,     -0.4424832708
          0,           0,           9,      -4.622456319,      -7.622021845,     -0.7322782234,      -2.777421556,      -3.817636309,       2.861955016,      -4.423189563,   3.113798578e-05,  -1.376615181e-05,  -0.0001573478352,   1.465065111e-16,   1.138387696e-05,   -0.000130118309,   3.113798578e-05,  -0.0001573478352,  -1.376615181e-05,      -0.442101551
          0,           0,          10,      -4.622840057,      -7.622405589,     -0.7327442949,      -2.725021907,      -3.765259733,       2.861569703,      -4.423573301,   3.480215657e-05,  -1.537254927e-05,  -0.0001757090422,   1.873422276e-16,   1.271854209e-05,  -0.0001453736014,   3.480215657e-05,  -0.0001757090422,  -1.537254927e-05,     -0.4417125485
          0,           0,          11,      -4.623224603,      -7.622790142,     -0.7332137964,      -2.676949342,      -3.717210241,       2.861183568,      -4.423957847,   3.857954346e-05,  -1.702577075e-05,  -0.0001946054501,   2.382123595e-16,   1.409328713e-05,   -0.000161087009,   3.857954346e-05,  -0.0001946054501,  -1.702577075e-05,     -0.4413160245
          0,           0,          12,      -4.623610057,      -7.623175602,     -0.7336869078,      -2.632446046,       -3.67273002,       2.860796514,      -4.424343301,   4.247358135e-05,    -1.8727101e-05,  -0.0002140517439,   3.014207175e-16,   1.550922911e-05,  -0.0001772712998,   4.247358135e-05,  -0.0002140517439,    -1.8727101e-05,      -0.440911748
          0,           0,          13,       -4.62399652,      -7.623562071,     -0.7341638125,      -2.590936934,      -3.631243988,       2.860408442,      -4.424729764,   4.648776944e-05,  -2.047783894e-05,  -0.0002340627701,   3.797815685e-16,   1.696749681e-05,  -0.0001939393759,   4.648776944e-05,  -0.0002340627701,  -2.047783894e-05,     -0.4404994945
          0,           0,          14,      -4.624384094,      -7.623949653,     -0.7346446969,      -2.551975332,      -3.592305477,       2.860019251,      -4.425117338,   5.062567498e-05,  -2.227929868e-05,  -0.0002546535491,   4.767238541e-16,   1.846923164e-05,  -0.0002111042836,   5.062567498e-05,  -0.0002546535491,  -2.227929868e-05,     -0.4400790447
          0,           0,          15,      -4.624772886,      -7.624338453,     -0.7351297514,      -2.515207451,      -3.555560701,       2.859628836,       -4.42550613,   5.489093651e-05,   -2.41328103e-05,  -0.0002758392839,    5.96368899e-16,    2.00155882e-05,    -0.00022877922,   5.489093651e-05,  -0.0002758392839,   -2.41328103e-05,     -0.4396501833
          0,           0,          16,      -4.625163003,      -7.624728578,     -0.7356191703,      -2.480348351,      -3.520724726,       2.859237093,      -4.425896247,   5.928726662e-05,  -2.603972037e-05,  -0.0002976353658,   7.437389072e-16,   2.160773464e-05,  -0.0002469775371,   5.928726662e-05,  -0.0002976353658,  -2.603972037e-05,     -0.4392126987
          0,           0,          17,      -4.625554557,       -7.62512014,     -0.7361131528,      -2.447165212,      -3.487564737,       2.858843912,        -4.4262878,   6.381845436e-05,   -2.80013923e-05,  -0.0003200573785,   9.247313722e-16,   2.324685286e-05,   -0.000265712744,   6.381845436e-05,  -0.0003200573785,   -2.80013923e-05,     -0.4387663816
          0,           0,          18,      -4.625947661,      -7.625513254,     -0.7366119027,      -2.415465395,      -3.455888102,       2.858449182,      -4.426680904,   6.848836739e-05,  -3.001920647e-05,     -0.0003431211,   1.146466598e-15,   2.493413852e-05,  -0.0002849985073,   6.848836739e-05,     -0.0003431211,  -3.001920647e-05,     -0.4383110244
          0,           0,          19,      -4.626342433,      -7.625908036,     -0.7371156294,      -2.385087738,      -3.425533664,       2.858052787,      -4.427075676,   7.330095382e-05,   -3.20945603e-05,  -0.0003668425028,   1.417280687e-15,   2.667080096e-05,  -0.0003048486499,   7.330095382e-05,  -0.0003668425028,   -3.20945603e-05,     -0.4378464212
          0,           0,          20,      -4.626738996,       -7.62630461,     -0.7376245476,       -2.35589609,      -3.396365278,       2.857654609,      -4.427472238,   7.826024395e-05,  -3.422886809e-05,  -0.0003912377525,   1.746804561e-15,   2.845806296e-05,   -0.000325277148,   7.826024395e-05,  -0.0003912377525,  -3.422886809e-05,     -0.4373723664
          0,           0,          21,      -4.627137475,        -7.6267031,     -0.7381388781,      -2.327774418,       -3.36826692,       2.857254525,      -4.427870716,   8.337035172e-05,  -3.642356083e-05,  -0.0004163232053,   2.146229102e-15,   3.029716038e-05,  -0.0003462981277,   8.337035172e-05,  -0.0004163232053,  -3.642356083e-05,      -0.436888655
          0,           0,          22,      -4.627538001,      -7.627103638,     -0.7386588481,      -2.300623069,      -3.341138941,       2.856852406,      -4.428271241,   8.863547607e-05,  -3.868008583e-05,   -0.000442115404,   2.628174702e-15,   3.218934175e-05,  -0.0003679258597,   8.863547607e-05,   -0.000442115404,  -3.868008583e-05,     -0.4363950819
